state_name,2020_rent,2021_rent,2022_rent,2023_rent,2024_rent,2020_mortgage,2021_mortgage,2022_mortgage,2023_mortgage,2024_mortgage
NV,1262.2265715577066,1440.8522602628798,1561.6001271988398,1556.982380576576,1583.2156125854272,1488.093243031827,1705.1374401478781,2532.1087878716876,2920.0780368573523,3024.7707176819627
NY,1288.8091866622162,1362.8938968486532,1531.9498249254102,1638.6245838078057,1730.8677893657261,864.6923442259484,950.4745575948585,1341.9611565072641,1695.5048930377807,1804.1853479731271
OH,827.5808138669362,884.4675154663774,971.1505477996495,1035.3801360870727,1090.2218910552308,594.1822279976662,657.6849853182636,919.2450836289656,1152.7164578484355,1212.298606463748
OK,865.6937508979861,942.442187557652,1047.756464512703,1080.3424913533281,1119.8789472693707,573.9788786493295,623.7684773909045,890.3570728504463,1117.8532565352994,1148.969357412645
OR,1304.335999043559,1396.9368010009803,1536.7012834455313,1621.917221268543,1670.391142735787,1534.5346083113714,1756.208221920664,2529.385729100807,3016.381425728681,3049.8233696518673
PA,941.5273900825885,1018.6613404046251,1112.81925811489,1182.44052007366,1237.9105334394208,830.5340245573824,903.9294634587042,1264.1916270345575,1588.735765411113,1646.7836547839277
RI,1328.0265182899418,1460.7106990833447,1624.0885327738722,1774.494811947894,1900.633676072501,1380.9604626501089,1549.9879428882878,2202.213391665892,2782.9939841831947,2975.41811351738
SC,1131.1054363862338,1241.7064120724635,1431.7013845564359,1507.05658332686,1544.079920060708,889.2810173898057,982.4248587799998,1487.5513823984509,1891.2245184426954,1945.69952874993
SD,826.019170912768,890.6634000261852,1040.208135054995,1078.414120940975,1100.5327786269822,1014.7698527425141,1119.9477235612198,1670.7170558614057,2083.591126548634,2127.1638813891705
TN,977.7252716443503,1081.1589117142453,1233.2118046661278,1293.8658519610551,1331.169064514509,815.8839799049258,909.0448769930259,1372.3377570924506,1734.3087681726277,1803.8693209165353
TX,967.0176513668515,1019.7886021711812,1118.7358398351732,1178.8427296375794,1199.549050142611,796.6300116627413,864.997779214124,1254.3175105574537,1535.5523193059626,1540.860981272749
UT,1145.1715817385823,1273.1018922907836,1440.4331191007786,1497.5047791509419,1511.3335278129307,1515.62231234285,1800.0115366579444,2715.4627688990354,3182.3847193908364,3197.171999536131
VA,1282.2256829892344,1363.0104240191492,1502.8241122281354,1577.4960459695765,1645.8897954785098,1110.5663831852783,1212.1165339318875,1707.5340350187175,2139.8303857450665,2219.4493168489957
VT,1348.2231181466407,1435.3124002668062,1586.3025040607,1778.058448609788,1872.873533348191,1417.8714329724178,1550.8109144676876,2222.3057884081254,2846.4746184050455,2929.019325225397
WA,1253.1446118540855,1376.38182881911,1514.8358927110075,1591.790926970128,1645.7211792510395,1554.0474786678046,1779.252722641,2568.9089877861293,3047.5162191838376,3111.6007157982767
WI,1116.783369596693,1160.918931249817,1244.2787790610023,1358.0011228811452,1422.1784751239334,896.5920784819554,975.9847991530037,1366.0713924849179,1756.0292286640151,1852.1075069662927
WY,884.8304791473747,947.3389705793114,1008.8968054658097,1065.0891378007761,1105.8449723083895,1149.5679753190338,1197.193872506508,1631.7323478479161,2013.531600293896,2059.6738887361516
